Tradable Stock # 5,000070.KS,000080.KS,000100.KS,000120.KS,000150.KS
Generation # 0,0,0,1,0,0,| Fittest Chromosome Fitness,2.7087359633938797
chromosome #0,0,0,1,0,0,| Fitness,2.7087359633938797
chromosome #1,0,0,0,0,1,| Fitness,1.2174297576342161
chromosome #2,1,0,1,0,0,| Fitness,1.1926387264849336
chromosome #3,0,0,0,0,0,| Fitness,0.0
chromosome #4,0,0,0,0,0,| Fitness,0.0
chromosome #5,0,0,0,0,0,| Fitness,0.0
chromosome #6,0,0,0,0,0,| Fitness,0.0
chromosome #7,0,0,0,0,0,| Fitness,0.0
chromosome #8,0,0,0,0,0,| Fitness,0.0
chromosome #9,1,0,0,0,0,| Fitness,-0.0754945726668121
Tradable Stock # 5,000070.KS,000080.KS,000100.KS,000120.KS,000150.KS
Generation # 1,0,0,1,0,0,| Fittest Chromosome Fitness,2.7087359633938797
chromosome #0,0,0,1,0,0,| Fitness,2.7087359633938797
chromosome #1,0,0,1,0,0,| Fitness,2.7087359633938797
chromosome #2,0,0,0,0,1,| Fitness,1.2174297576342161
chromosome #3,1,0,1,0,0,| Fitness,1.1926387264849336
chromosome #4,1,0,1,0,0,| Fitness,1.1926387264849336
chromosome #5,0,0,0,1,0,| Fitness,0.13134670023907466
chromosome #6,0,0,0,0,0,| Fitness,0.0
chromosome #7,0,0,0,0,0,| Fitness,0.0
chromosome #8,0,0,0,0,0,| Fitness,0.0
chromosome #9,0,1,0,0,1,| Fitness,-0.3849853491600149
Tradable Stock # 5,000070.KS,000080.KS,000100.KS,000120.KS,000150.KS
Generation # 2,0,0,1,0,0,| Fittest Chromosome Fitness,2.7087359633938797
chromosome #0,0,0,1,0,0,| Fitness,2.7087359633938797
chromosome #1,0,0,1,0,0,| Fitness,2.7087359633938797
chromosome #2,0,0,1,0,0,| Fitness,2.7087359633938797
chromosome #3,0,0,1,0,0,| Fitness,2.7087359633938797
chromosome #4,0,0,0,0,1,| Fitness,1.2174297576342161
chromosome #5,0,0,0,0,1,| Fitness,1.2174297576342161
chromosome #6,1,0,1,0,0,| Fitness,1.1926387264849336
chromosome #7,1,0,1,0,0,| Fitness,1.1926387264849336
chromosome #8,1,0,1,0,0,| Fitness,1.1926387264849336
chromosome #9,0,0,0,0,0,| Fitness,0.0
Tradable Stock # 5,000070.KS,000080.KS,000100.KS,000120.KS,000150.KS
Generation # 3,0,0,1,0,0,| Fittest Chromosome Fitness,2.7087359633938797
